symbol,name,exchange,CMP,move_start_date,vcp_quality,vcp_status,num_contractions,contractions,C1_pct,C2_pct,C3_pct,depths_decreasing,final_contraction_tight,vdu_confirmed,vdu_ratio,pivot,pct_from_pivot,breakout_vol_ratio,breakout_vol_gt40pct,near_52w_high,num_legs,leg_gains_pct,leg3_highest_pivot,leg3_vol_expansion,fib_ratio_L3_L1,fib_extension,cleared_52w_high,time_contraction,third_leg_confirmed,bars_daily,vcp_leg_score_10
MWL,Mangalam Worldwide Limited,NSE,378.8,2025-11-14,Strong VCP,AT PIVOT (actionable),3.0,C1:-9.4%/4b | C2:-5.5%/7b | C3:-2.9%/3b,9.4,5.5,2.9,True,True,True,0.81,385.15,-1.65,1.48,True,True,12.0,L1:+19% | L2:+16% | L3:+12%,False,True,0.74,0.74x,False,True,False,352.0,8.0
500449,Hindustan Organic Chemicals Ltd,BSE,40.67,2026-03-30,No VCP,forming / still basing,3.0,C1:-6.9%/2b | C2:-11.9%/4b | C3:-12.8%/4b,6.9,11.9,12.8,False,True,True,0.75,45.94,-11.47,0.39,False,False,4.0,L1:+67% | L2:+13% | L3:+45%,True,True,1.01,1.01x,False,True,True,351.0,7.0
IOLCP,IOL Chemicals and Pharmaceuticals Limited,NSE,131.68,2026-03-17,Moderate VCP,forming / still basing,3.0,C1:-9.5%/2b | C2:-7.9%/2b | C3:-12.5%/4b,9.5,7.9,12.5,False,True,True,0.81,138.9,-5.2,0.55,False,True,4.0,L1:+17% | L2:+32% | L3:+59%,True,True,4.37,4.37x,False,True,True,354.0,7.0
NIBE,NIBE Limited,NSE,1590.4,2026-03-30,No VCP,extended past pivot,3.0,C1:-29.0%/12b | C2:-11.1%/6b | C3:-10.0%/3b,29.0,11.1,10.0,True,True,False,1.66,1470.0,8.19,2.16,True,False,3.0,L1:+40% | L2:+7% | L3:+67%,True,True,2.01,2.01x,False,True,True,327.0,7.0
ASTRAMICRO,Astra Microwave Products Limited,NSE,1419.5,2026-03-30,No VCP,AT PIVOT (actionable),3.0,C1:-5.0%/1b | C2:-8.1%/7b | C3:-9.2%/1b,5.0,8.1,9.2,False,True,False,1.44,1433.0,-0.94,2.59,True,True,4.0,L1:+35% | L2:+8% | L3:+33%,False,True,1.2,~1.272x,False,True,False,354.0,7.0
SIGMAADV,SIGMA ADVANCED SYSTEMS LIMITED,NSE,435.8,2026-03-16,Moderate VCP,extended past pivot,3.0,C1:-20.3%/11b | C2:-14.7%/5b | C3:-12.9%/6b,20.3,14.7,12.9,True,True,False,1.9,338.95,28.57,1.8,True,True,3.0,L1:+23% | L2:+130% | L3:+58%,True,True,5.26,5.26x,False,False,True,353.0,7.0
SANSTAR,Sanstar Limited,NSE,117.96,2026-03-30,No VCP,AT PIVOT (actionable),3.0,C1:-9.0%/2b | C2:-4.6%/5b | C3:-14.5%/2b,9.0,4.6,14.5,False,True,False,1.11,120.0,-1.7,1.61,True,True,3.0,L1:+21% | L2:+39% | L3:+18%,True,True,1.18,~1.272x,False,True,True,354.0,7.0
KDDL,KDDL Limited,NSE,2904.7,2026-03-30,Moderate VCP,AT PIVOT (actionable),3.0,C1:-14.0%/8b | C2:-15.0%/7b | C3:-9.3%/3b,14.0,15.0,9.3,False,True,True,0.83,2952.8,-1.63,0.63,False,True,4.0,L1:+29% | L2:+15% | L3:+36%,False,True,1.35,~1.272x,False,True,False,352.0,7.0
ABSLAMC,Aditya Birla Sun Life AMC Limited,NSE,1048.8,2025-11-24,Strong VCP,AT PIVOT (actionable),3.0,C1:-9.1%/4b | C2:-8.6%/2b | C3:-7.0%/1b,9.1,8.6,7.0,True,True,True,0.66,1089.5,-3.74,0.43,False,True,12.0,L1:+3% | L2:+12% | L3:+14%,False,True,4.52,4.52x,False,True,False,354.0,7.0
APCOTEXIND,Apcotex Industries Limited,NSE,540.2,2026-03-30,No VCP,BROKEN OUT (fresh),3.0,C1:-3.8%/3b | C2:-16.3%/4b | C3:-8.8%/8b,3.8,16.3,8.8,False,True,False,2.03,523.0,3.29,1.92,True,True,5.0,L1:+24% | L2:+8% | L3:+44%,True,True,2.29,2.29x,False,True,True,353.0,7.0
ABB,ABB India Limited,NSE,7167.5,2026-01-20,No VCP,AT PIVOT (actionable),3.0,C1:-15.5%/6b | C2:-2.0%/3b | C3:-4.6%/1b,15.5,2.0,4.6,False,True,True,0.79,7340.0,-2.35,0.54,False,False,9.0,L1:+26% | L2:+3% | L3:+9%,False,True,0.4,0.40x,False,True,False,354.0,6.0
