rank,symbol,name,exchange,price_180d_ago,past_date_used,price_today,return_pct_final,mktcap_cr,cap_bucket,sector,avg_daily_volume,avg_daily_value_rs,penny_flag,xsrc_price,xsrc_mismatch_pct,xsrc_ok,isin_norm,yahoo_ticker,industry
235,SBC,SBC Exports Limited,NSE,27.96,2025-12-12,37.04,32.47,1767.62,Small,Industrials,11984484.0,365710353.0,False,37.12,0.22,True,INE04AK01028,SBC.NS,Conglomerates
236,INDOBORAX,Indo Borax & Chemicals Limited,NSE,274.67,2025-12-12,359.1,32.42,1152.19,Small,Basic Materials,98536.0,27942852.0,False,359.05,0.01,True,INE803D01021,INDOBORAX.NS,Chemicals
237,LINCOLN,Lincoln Pharmaceuticals Limited,NSE,472.85,2025-12-12,637.8,32.3,1276.59,Small,Healthcare,86095.0,54454332.0,False,637.35,0.07,True,INE405C01035,LINCOLN.NS,Drug Manufacturers - Specialty & Generic
238,IBULLSLTD,Indiabulls Limited,NSE,18.94,2025-12-12,24.47,32.27,5685.44,Mid,Real Estate,6941636.0,107400939.0,False,24.46,0.04,True,INE126M01010,IBULLSLTD.NS,Real Estate - Development
239,BLUSPRING,Bluspring Enterprises Limited,NSE,68.14,2025-12-12,90.01,32.25,1342.13,Small,Industrials,357349.0,24185700.0,False,89.81,0.22,True,INE0U4101014,BLUSPRING.NS,Specialty Business Services
240,ABB,ABB India Limited,NSE,5278.0,2025-12-12,6931.0,32.21,146751.85,Large,Industrials,357490.0,2187109969.0,False,6925.25,0.08,True,INE117A01022,ABB.NS,Specialty Industrial Machinery
241,MARKSANS,Marksans Pharma Limited,NSE,193.86,2025-12-12,252.75,32.18,11446.92,Mid,Healthcare,1453644.0,305607244.0,False,252.6,0.06,True,INE750C01026,MARKSANS.NS,Drug Manufacturers - General
242,POLYCAB,Polycab India Limited,NSE,7276.5,2025-12-12,9615.5,32.14,144832.16,Large,Industrials,394920.0,3089434447.0,False,9618.05,0.03,True,INE455K01017,POLYCAB.NS,Electrical Equipment & Parts
243,NELCAST,Nelcast Limited,NSE,109.44,2025-12-12,143.63,32.11,1248.03,Small,Industrials,185294.0,23601186.0,False,143.45,0.13,True,INE189I01024,NELCAST.NS,Metal Fabrication
244,PREMIERPOL,Premier Polyfilm Limited,NSE,42.67,2025-12-12,55.51,32.01,584.78,Small,Basic Materials,200807.0,10566634.0,False,55.83,0.57,True,INE309M01020,PREMIERPOL.NS,Specialty Chemicals
