symbol,name,exchange,yahoo_ticker,close,rsi,adx,macd_hist,vol_spike,dist_52wh_pct,adv_value_cr,atr_pct,prime_score,not_extended,checks
REPCOHOME,Repco Home Finance Limited,NSE,REPCOHOME.NS,427.8,71.5,25.3,4.998,12.39,-7.89,7.76,3.06,9,True,111111111
RELTD,Ravindra Energy Limited,NSE,RELTD.NS,166.66,66.7,35.3,1.408,0.84,-13.09,12.94,5.6,6,True,110010111
RELIGARE,Religare Enterprises Limited,NSE,RELIGARE.NS,262.7,62.1,41.9,0.989,1.01,-10.95,31.41,3.18,7,True,110011111
RITCO,Ritco Logistics Limited,NSE,RITCO.NS,257.75,50.2,26.1,-1.293,0.16,-18.72,3.38,4.35,6,True,001011111
RUPA,Rupa & Company Limited,NSE,RUPA.NS,167.94,64.9,39.4,0.887,0.63,-27.89,8.92,3.27,7,True,110011111
RRKABEL,R R Kabel Limited,NSE,RRKABEL.NS,2360.2,62.3,48.0,-9.24,2.75,-7.41,168.07,3.79,7,False,100111111
REFEX,Refex Industries Limited,NSE,REFEX.NS,364.4,74.8,46.1,1.72,1.35,-22.14,52.76,3.8,7,False,110011111
RML,Rane (Madras) Limited,NSE,RML.NS,1205.0,75.2,46.0,17.875,3.53,-4.73,10.97,4.3,7,False,010111111
ROTO,Roto Pumps Limited,NSE,ROTO.NS,70.39,60.9,37.3,0.245,0.91,-35.72,33.49,4.82,6,True,110011110
ROLEXRINGS,Rolex Rings Limited,NSE,ROLEXRINGS.NS,148.79,62.8,24.9,0.767,0.97,-15.46,21.69,2.19,8,True,111011111
RBLBANK,RBL Bank Limited,NSE,RBLBANK.NS,355.5,46.6,20.2,-2.726,2.14,-6.86,195.21,2.69,6,True,001110111
RBA,Restaurant Brands Asia Limited,NSE,RBA.NS,78.12,67.2,42.0,0.298,2.12,-10.87,50.66,2.85,8,True,110111111
PWL,Physicswallah Limited,NSE,PWL.NS,133.08,71.5,32.2,1.27,0.83,-17.85,108.69,4.21,6,False,110011101
QUADFUTURE,Quadrant Future Tek Limited,NSE,QUADFUTURE.NS,449.6,70.4,54.6,1.625,0.58,-15.33,37.26,4.81,7,False,110011111
QUESS,Quess Corp Limited,NSE,QUESS.NS,285.35,84.2,50.5,2.281,2.84,-11.08,32.28,3.8,7,False,010111111
PSPPROJECT,PSP Projects Limited,NSE,PSPPROJECT.NS,1040.1,72.6,40.7,5.243,1.64,-1.0,12.78,3.77,7,False,110111110
RPGLIFE,RPG Life Sciences Limited,NSE,RPGLIFE.NS,2423.5,68.3,24.4,12.473,0.32,-11.06,11.64,3.39,8,True,111011111
PSB,Punjab & Sind Bank,NSE,PSB.NS,24.95,56.7,18.8,0.009,1.63,-25.61,4.26,2.62,7,True,111110101
