symbol,name,exchange,yahoo_ticker,isin,price_180d_ago,past_date_used,price_today,return_pct,avg_daily_volume,avg_daily_value_rs,bars,status
GENESYS,Genesys International Corporation Limited,NSE,GENESYS.NS,INE727B01026,439.5,2025-12-05,267.65,-39.1,750161.0,255871086.0,155.0,ok
GEOJITFSL,Geojit Financial Services Limited,NSE,GEOJITFSL.NS,INE007B01023,70.73,2025-12-05,72.15,2.01,1326909.0,97727651.0,154.0,ok
GHCL,GHCL Limited,NSE,GHCL.NS,INE539A01019,599.55,2025-12-05,456.0,-23.94,164410.0,87189913.0,156.0,ok
GHCLTEXTIL,GHCL Textiles Limited,NSE,GHCLTEXTIL.NS,INE0PA801013,73.12,2025-12-05,97.17,32.89,279875.0,23435264.0,154.0,ok
GFLLIMITED,GFL Limited,NSE,GFLLIMITED.NS,INE538A01037,60.62,2025-12-05,46.45,-23.38,111278.0,6400515.0,153.0,ok
GALAPREC,Gala Precision Engineering Limited,NSE,GALAPREC.NS,INE0RE001014,721.0,2025-12-05,904.9,25.51,19156.0,15203313.0,155.0,ok
GENUSPOWER,Genus Power Infrastructures Limited,NSE,GENUSPOWER.NS,INE955D01029,305.9,2025-12-05,309.35,1.13,644733.0,191557899.0,156.0,ok
GESHIP,The Great Eastern Shipping Company Limited,NSE,GESHIP.NS,INE017A01032,1091.0,2025-12-05,1517.2,39.07,753082.0,1080453249.0,156.0,ok
GEEKAYWIRE,Geekay Wires Limited,NSE,GEEKAYWIRE.NS,INE669X01032,32.87,2025-12-05,23.24,-29.3,128902.0,3544051.0,155.0,ok
GICL,Globe International Carriers Limited,NSE,GICL.NS,INE947T01022,40.5,2025-12-05,40.23,-0.67,473105.0,19679012.0,153.0,ok
GICRE,General Insurance Corporation of India,NSE,GICRE.NS,INE481Y01014,381.85,2025-12-05,377.65,-1.1,491877.0,188763709.0,156.0,ok
GILLETTE,Gillette India Limited,NSE,GILLETTE.NS,INE322A01010,8345.0,2025-12-05,7745.0,-7.19,31501.0,261445764.0,155.0,ok
GAYAHWS,Gayatri Highways Limited,NSE,GAYAHWS.NS,INE287Z01012,2.79,2025-12-05,2.26,-19.0,442328.0,1280474.0,154.0,ok
GAYAPROJ,Gayatri Projects Limited,NSE,GAYAPROJ.NS,INE336H01023,11.53,2025-12-05,20.61,78.75,187424.0,3362664.0,155.0,ok
GANDHAR,Gandhar Oil Refinery (India) Limited,NSE,GANDHAR.NS,INE717W01049,124.6,2025-12-05,155.79,25.03,958712.0,153996591.0,155.0,ok
GANGAFORGE,Ganga Forging Limited,NSE,GANGAFORGE.NS,INE691Z01023,2.98,2025-12-05,2.35,-21.14,604295.0,1931722.0,154.0,ok
GANESHCP,Ganesh Consumer Products Limited,NSE,GANESHCP.NS,INE652V01016,240.65,2025-12-05,216.77,-9.92,158965.0,34537953.0,154.0,ok
GALLANTT,Gallantt Ispat Limited,NSE,GALLANTT.NS,INE297H01019,590.5,2025-12-05,666.5,12.87,1441117.0,1095367682.0,155.0,ok
GAUDIUMIVF,Gaudium IVF and Women Health Limited,NSE,GAUDIUMIVF.NS,INE0P8B01020,80.26,2026-02-27,112.39,40.03,1238651.0,120160587.0,62.0,ok
